x,y
-1546.7808210491598,0.013205963
-1545.20731410482,0.015828736
-1543.63380716048,0.017139804
-1542.06030021614,0.014062431
-1540.4867932718,0.01335316
-1538.91328632746,0.015717834
-1537.33977938312,0.012973219
-1535.7662724387799,0.011025312
-1534.19276549444,0.010244829
-1532.6192585501,0.01434413
-1531.0457516057597,0.007506317
-1529.47224466142,0.007224663
-1527.89873771708,0.007192436
-1526.32523077274,0.0073959082
-1524.7517238284,0.007944128
-1523.17821688406,0.008617972
-1521.6047099397201,0.010338246
-1520.03120299538,0.010478863
-1518.4576960510399,0.009140753
-1516.8841891067,0.007866955
-1515.31068216236,0.010132681
-1513.7371752180202,0.008457086
-1512.1636682736798,0.008848576
-1510.59016132934,0.01098673
-1509.016654385,0.010894544
-1507.4431474406601,0.010971148
-1505.86964049632,0.0098464675
-1504.29613355198,0.0090068765
-1502.72262660764,0.0060699596
-1501.1491196633,0.008625144
-1499.57561271896,0.009354019
-1498.00210577462,0.0059307665
-1496.42859883028,0.0067274813
-1494.8550918859398,0.0084423665
-1493.2815849416,0.0075592874
-1491.70807799726,0.00536962
-1490.1345710529201,0.006988299
-1488.5610641085798,0.010978842
-1486.98755716424,0.010906408
-1485.4140502199,0.0081571285
-1483.84054327556,0.0076535516
-1482.26703633122,0.008947762
-1480.6935293868798,0.011677272
-1479.12002244254,0.011042613
-1477.5465154982,0.009250554
-1475.97300855386,0.008634116
-1474.39950160952,0.0077726915
-1472.82599466518,0.009513852
-1471.25248772084,0.0056733787
-1469.6789807764999,0.006140059
-1468.10547383216,0.010248866
-1466.53196688782,0.0074969
-1464.95845994348,0.008043338
-1463.3849529991398,0.008177811
-1461.8114460548,0.0034019398
-1460.23793911046,0.0051722387
-1458.6644321661202,0.007974246
-1457.0909252217798,0.008029611
-1455.51741827744,0.009270401
-1453.9439113331,0.0060402667
-1452.3704043887599,0.0062775114
-1450.79689744442,0.00707042
-1449.2233905000799,0.0045770253
-1447.6498835557402,0.0051070186
-1446.0763766113998,0.0064261714
-1444.50286966706,0.003290854
-1442.92936272272,0.005795351
-1441.3558557783801,0.011123834
-1439.78234883404,0.011148747
-1438.2088418897,0.011234775
-1436.63533494536,0.008036239
-1435.06182800102,0.0074301213
-1433.48832105668,0.0060411138
-1431.91481411234,0.0044946764
-1430.341307168,0.0054297466
-1428.76780022366,0.010925801
-1427.19429327932,0.01068924
-1425.62078633498,0.010132671
-1424.0472793906401,0.0020368474
-1422.4737724462998,0.0059506786
-1420.90026550196,0.006982665
-1419.32675855762,0.010262817
-1417.75325161328,0.010812974
-1416.17974466894,0.008652786
-1414.6062377245999,0.009177201
-1413.03273078026,0.008377426
-1411.45922383592,0.012606198
-1409.88571689158,0.009597711
-1408.31220994724,0.009208763
-1406.7387030029,0.011676949
-1405.16519605856,0.0104893185
-1403.59168911422,0.00922438
-1402.01818216988,0.008334551
-1400.44467522554,0.0065201465
-1398.8711682812,0.004591769
-1397.2976613368598,0.0036344205
-1395.72415439252,0.0036910763
-1394.15064744818,0.0072022397
-1392.5771405038402,0.008327112
-1391.0036335594998,0.013604306
-1389.43012661516,0.0104377195
-1387.85661967082,0.008933725
-1386.28311272648,0.006705543
-1384.70960578214,0.005836478
-1383.1360988377999,0.005215424
-1381.56259189346,0.0061891805
-1379.9890849491198,0.010582886
-1378.41557800478,0.007306461
-1376.84207106044,0.0074916086
-1375.2685641161,0.007512018
-1373.69505717176,0.0034834507
-1372.12155022742,0.0026370098
-1370.54804328308,0.0052737426
-1368.97453633874,0.009233674
-1367.4010293943998,0.009218738
-1365.82752245006,0.007444543
-1364.25401550572,0.00419591
-1362.68050856138,0.004758727
-1361.10700161704,0.0067647076
-1359.5334946726998,0.010329346
-1357.9599877283601,0.005676825
-1356.38648078402,0.005169447
-1354.81297383968,0.008748786
-1353.23946689534,0.0057551116
-1351.6659599509999,0.008275734
-1350.0924530066602,0.007797389
-1348.5189460623199,0.008226366
